,企業名,セールスポイント,採用ステータス,初年度年収
270,株式会社フットワーク | 創業30年以上！東京、町田市の安定企業◆転勤なし◆週休2日制,高水準インセンティブ有！【賃貸営業】残業ゼロ／完全反響営業！ 正社員,正社員,"仕事内容 【チームで仕事を進めるスタイル】◆借りたいお客様・貸したいお客様双方のニーズに応えるお仕事です！☆意欲採用です！
対象となる方 【未経験・第二新卒歓迎／人物重視の採用】◆先輩がマンツーマンでしっかりサポートします！要普通自動車免許(AT限定OK) ☆宅建士の資格は大歓迎！
勤務地 【転勤なし】【U・Iターンも大歓迎】 ◆町田本店／東京都町田市森野1-12-3 《アクセス》 各線…
給与 ◆月給24万円〜48万円+インセンティブ+賞与（年2回） 年収例　880万円以上の実績有り！ ※給与額は経験や…
初年度年収 328万円～900万円"
271,株式会社タイセイリサイクル | リサイクル事業を展開＊環境省「エコアクション21」の認証取得,高収入×力仕事なし☆未経験でも始めやすい【工場作業スタッフ】 正社員,正社員,"仕事内容 建設現場から出た資源・廃棄物の仕分け作業をお任せ◇軽いものばかりで体力的な負担はほぼなし◇手当が付くから高収入をGET！◇有給が使いやすい！
対象となる方 【応募要件】準中型免許をお持ちの方◇未経験OK⇒基本2名で業務を進めるので未経験でも安心！ ◇20～40代の社員が活躍中◇未経験で入社した先輩ばかり
勤務地 埼玉県所沢市南永井578-1 ★マイカー通勤OK(駐車場完備) ★転勤なし ★U・Iターン歓迎
給与 【月給】28万円〜35万円+皆勤手当(2万円)+残業代全額支給+その他諸手当 ※年齢や経験、スキルを考慮し、…
初年度年収 350万円～450万円"
272,株式会社トラスト不動産 | 【ハウスドゥ北大路大宮店】6月OPEN！同期と共に成長できる,★オープニング募集★【不動産営業】※研修充実！未経験者も歓迎 正社員,正社員,"仕事内容 不動産の売買仲介業務をお任せします。★未経験の方も『ハウスドゥ！』本部の研修で一から学べます。★販売インセンティブは仲介手数料の10％支給。
対象となる方 【未経験歓迎！意欲があれば""まっさら""でOK】■普通免許（AT可）★月8日休み（土日休みもOK）残業なしの働き方をしたい方も歓迎します！
勤務地 ［転勤なし］ 京都府京都市上京区大宮通鞍馬口上る若宮竪町８３番地 ★ゆくゆくは中京区や左京区にも店…
給与 月給20万円〜37万円＋インセンティブ（仲介手数料の10%を支給） ※年齢・経験を考慮の上、当社規定によ…"
273,株式会社ユースリー | 転勤なし・土日祝休・有給消化100％・時流に沿った働き方を展開,【IT営業】未経験歓迎/土日祝休/年休124日以上/月残業20h以内 正社員,正社員,"仕事内容 企業とエンジニアを結ぶコーディネート業務やエンジニアのフォロー など　★ITに詳しくなくても問題なし！★手厚い研修・マニュアル完備
対象となる方 ＜未経験歓迎＞★社会人デビューも応援！★学歴不問　■素直で、地道にコツコツ頑張れる方を歓迎します！　＜土日祝休の完全週休2日＞
勤務地 ■本社■ 東京都千代田区九段北1-10-5 九段櫻ビル5F
給与 月給25万円以上+高額インセンティブ賞与 ※経験を考慮の上、当社規定により優遇します。
初年度年収 300万円～600万円"
274,株式会社アイシーイノベーション | ★土日祝休み ★特別手当年3回 ★残業平均月10h,【インフラ構築エンジニア】★フレックス制度・テレワークあり 正社員,正社員,"仕事内容 【多彩な案件から希望・適性に合わせて担当！】◆ハードウェアの選定・調達・設置、サーバの構築、各種設定などインフラ周りの業務をお任せします。
対象となる方 【前職の給与を考慮します！】◆高卒以上 ◆性別不問 ◆インフラエンジニアの実務経験がある方 ★成長意欲のある方は大歓迎！
勤務地 ★転居を伴う転勤なし 東京都内（主に23区内）のプロジェクト先に勤務していただきます。 勤務地の希…
給与 月給250,000円〜390,000円 ※スキル・経験を考慮し当社規定により決定します ※上記給与には20時間分の固…
初年度年収 350万円～530万円"
275,和泉地所株式会社 | ☆オープニング募集！入社3年で年収1000万円も現実的★残業1日1H,☆月給25万～35万＋α！【リノベーションプランナー】未経験歓迎 正社員,正社員,"仕事内容 【1件の成約ごとにインセンティブ獲得】物件を売りたい仲介業者へ「物件を買い取らせてほしい」と提案 → リノベーションを企画
対象となる方 【高卒以上/経験不問】◎35歳まで(*)《東京オフィス増設移転の増員→5名程度の採用予定 ☆同期と一緒に成長できます》
勤務地 ★渋谷駅徒歩7分！ ★2021年5月OPEN拡大移転の東京オフィスでの募集です！ 【東京オフィス】…
給与 月給25万〜35万円＋インセンティブ 【月収例】 55万円/28歳 経験2年：月給25万円＋インセンティブ30万円…
初年度年収 450万円～600万円"
276,株式会社カクダイホーム | 平均月収37万円◆年3回/3～4連休の取得OK◆コアメンバー募集,【住宅営業／管理者候補】*100％反響*１契約5～35万のインセン 正社員,正社員,"仕事内容 【スピーディーにキャリアアップ】◆地域密着で「いえとち本舗」の規格住宅のほか、土地から建売、中古物件まで、さまざまな不動産の営業に携わります
対象となる方 ◆要普通免（AT可）◆土地や建物の売買仲介経験 、宅建の資格をお持ちの方は大歓迎！★キャリア志向の方や都心を離れて働きたい方にピッタリです。
勤務地 【「いえとち本舗」久喜店】 埼玉県久喜市本町8-6-52 JR各線・東武伊勢崎線「久喜駅」より車で…
給与 【経験者】 月給:28万円〜35万円以上＋歩合給（1契約 5万円〜35万円） 【未経験】 月給:23万円以上＋歩…
初年度年収 400万円～700万円"
277,株式会社フォートップス | ＜人柄重視の採用＞頑張りはしっかり評価＆キャリアUPできる,コロナ禍でも出店加速中！繁盛店の【店長・マネージャー候補】 正社員,正社員,"仕事内容 【口コミやSNSで話題の大衆酒場！】いちスタッフとして一通りの業務を経験した後、キャリアやスキルに応じて店長・マネージャー業務をお任せします
対象となる方 【応募条件はありません！人物重視の採用】 ◇飲食店経験者、大歓迎 ◇独立志向の方に最適 ★月7～9日休み ★9割以上の店舗が朝まで勤務ナシ
勤務地 ＼関東で展開！『ほていちゃん』を中心とした、各店舗で募集！／ 【東京都】 新小岩店 上野店 上野2…
給与 月給28万円〜100万円 ※経験・能力を考慮のうえ優遇いたします。 【月収例】 ◎店長経験者 35万円（各種…"
278,株式会社ディークラフト | ★都内キー局を中心に配属！★有名番組を手掛けられます！,★将来のエディター候補【映像編集スタッフ】★港区のキー局勤務 正社員,正社員,"仕事内容 《文字編集を入口に、将来は映像全体の装飾も！》 ◆都内のキー局または編集所に常駐し、人気番組のテロップ入力業務を担当していただきます
対象となる方 《経験を活かして活躍ください！》【必須条件】◎映像編集の実務経験（ジャンル不問）またはアシスタント経験 ◎年齢不問
勤務地 ≪港区のキー局またはキー局周辺の編集所での勤務となります≫※転勤なし ◆東京都港区赤坂 ◆東京都港…
給与 月給／30万円〜65万円＋残業手当 ※経験やスキルを考慮し優遇いたします
初年度年収 360万円～780万円"
279,朝日土地建物株式会社,【不動産営業】平均年収700万円 / 未経験入社9割☆スピード採用 正社員,正社員,"仕事内容 【100%反響営業】お住まいを探しているお客様に寄り添い、最適なご提案を！　　　　　　　　　　「成長環境」&「稼げる仕組み」で未経験でも安心！！
対象となる方 ＼完全人物採用／やる気があれば誰でも歓迎！中途入社の20~30代活躍中【未経験も大歓迎】
勤務地 【藤沢店】 神奈川県藤沢市鵠沼石上1-6-1
給与 ◆月給:22万円〜25万円 ＋インセンティブ＋各種手当 　※超過残業代は別途支給。　 　※固定残業代（月35…
初年度年収 500万円～1000万円"
280,株式会社エス・エル・エス福岡 | 総合レジャーサービスグループ(九州全県、広島県で32店舗展開!!),未経験OK！エリアマネージャー候補【フロアレディや店舗の管理】 正社員,正社員,"仕事内容 未経験からなれるエリアマネージャー！フロアレディのマネジメントや店舗管理業務！経営から店舗展開など幅広い経験ができるのも魅力！
対象となる方 【学歴不問／未経験歓迎】人柄重視の採用！社会人経験がない方も◎！志望動機は何でもOK!!◎45歳以下の方（※）◎ナイトレジャーに抵抗がない方
勤務地 ★転勤なし・希望の勤務地で働けます！ ★U/Iターンも大歓迎！地方出身者も多数！ 【店舗詳細】 ・…
給与 月給30万円〜50万円 ※経験・能力を考慮し決定します。 ※業界問わず前職の給与も考慮します。 ＜日本の…
初年度年収 550万円～800万円"
281,四国化工建設株式会社 | 「ショーボンドホールディングス（東証一部上場）」グループ,☆未経験&経験者募集☆【土木建築施工管理】賞与６～10ヵ月実績 正社員,正社員,"仕事内容 【100％公共事業案件】◆四国エリアの橋梁、道路、トンネルなどの補修・補強工事 ◆国土強靭化計画により今後も安定！調査設計部門もあり！
対象となる方 【各種専門学校・高専卒以上】 ◆要普通免許（AT限定可）◆未経験者…30歳以下の方（※）　　　◆経験者…土木・建築施工管理の有資格者（年齢不問）
勤務地 【転勤なし／社用車通勤OK／U・Iターン歓迎】 ■本社 香川県高松市勅使町1131-1 ※四国各県…
給与 未経験者 月給220,000円以上＋諸手当 経験者　 月給310,000円以上＋諸手当 ※年齢、経験、能力を考慮の…"
282,不二装備工業株式会社 | 【舞台設備を手掛けて68年】◆ご応募いただいた方全員へ面接保証,【舞台製作】未経験でも月給25万円～・残業少なめ・転勤なし 正社員,正社員,"仕事内容 【知られざる”アートの裏側”を担うプロフェッショナル】◆東関東エリアを中心に、体育館や各種ホールの”舞台設備”の設置や取り付けをお任せします
対象となる方 【未経験・第二新卒歓迎】◆高卒以上 ◆要普免（AT限定可）＊舞台やアートに興味がある方や、大きな設備を作り上げる達成感を味わいたい方、必見！
勤務地 ＼マイカー通勤OK・転勤なし・新習志野から徒歩8分／ 【工場】 千葉県習志野市茜浜1-5-6
給与 月給250,000円〜400,000円 ※経験やスキル等を考慮し、当社規定により決定致します ※試用期間1〜3ヶ月…
初年度年収 320万円～500万円"
283,洋伸建設株式会社 | 五洋建設グループ◎施工管理技士2級⇒1級へキャリアUPも叶います,【土木施工管理】◎完全週休2日(土日祝)／年休120日以上 正社員,正社員,"仕事内容 【景気の波に左右されにくい！】港湾工事、護岸工事などの土木工事における""施工管理業務""をお任せします。★現場は2～3名の施工管理スタッフで担当
対象となる方 【前職の給与を最大考慮】◆要普免(AT可) ◆土木施工管理技士(2級)以上をお持ちの方 ★経験を活かしてより安定した会社で働きたい⇒そんな方はぜひ！
勤務地 『広島・山口・愛媛・福岡』いずれかでの勤務となります。 ※希望を考慮の上、決定します ※勤務地は面…
給与 ◆月給：23万円〜50万円＋諸手当（残業手当・通勤手当・家族手当など） ※経験・年齢・能力を考慮の上、…
初年度年収 400万円～550万円"
284,株式会社あんしんマイホーム | 川崎エリア『物件情報充実度第1位』『口コミ評価第1位』（※）,【反響営業】7年連続平均年収1300万を未経験採用で実現したワケ 正社員,正社員,"仕事内容 武蔵小杉や溝の口を中心とした川崎エリアの戸建て、マンション、土地仲介など。★口コミによる紹介と大手ポータルサイト、自社サイト経由の完全反響型
対象となる方 【学歴不問／職種・業界未経験者・第二新卒歓迎！】■要普通自動車運転免許（AT限定可）★営業の経験がある方は歓迎！
勤務地 神奈川県川崎市高津区久本三丁目13番10号 《アクセス》 JR南武線 「武蔵溝ノ口駅」北口より徒歩…
給与 月給30万円〜45万円＋歩合給（仲介手数料の5％） ※スキル・経験に応じて、加給・優遇いたします。 ※試…
初年度年収 500万円～2000万円"
285,株式会社キャリアサービス | 【年休120日以上】【産休育休実績あり】★20代・30代活躍中！,未経験月給35万保証!実現可能な理由は?【人材コーディネーター】 正社員,正社員,"仕事内容 【新規開拓やノルマはありません！】◆求職者への求人提案や、企業の新人教育のサポートなどをお任せします！★入社後まずは研修からスタートします！
対象となる方 【学歴不問！未経験・第二新卒歓迎！】◆「まずは私たちと一緒に楽しく仕事ができる人」「人に喜ばれる仕事がしたい人」はぜひ！◆男女ともに活躍中！
勤務地 【本社(新橋)や、サテライトオフィス(渋谷、恵比寿、新宿、田町)で働きます！】 ★転勤なし！ ▼本…
給与 月給35万円以上 ＋ 賞与年2回 ＋ 各種手当 ※経験・スキルを考慮し、優遇いたします。
初年度年収 500万円～1000万円"
286,株式会社レジット | 月給37万円も可能！/ 資格支援制度 / 服装・ヘアスタイル自由,【Webデザイナー/コーダー】★年収800万円も実現★フレックス制 正社員,正社員,"仕事内容 【直取引】Webサイトのコーディングもしくは、デザイン制作全般をお任せします。 ★裁量大の環境で活躍！ ★数値に基づいたノウハウが身につきます！
対象となる方 【Webサイトのデザインもしくはコーディング経験をお持ちの方（実務経験2年以上）】★リモートワーク可能 ★スキルアップを目指している方 ★学歴不問
勤務地 【転職なし／U・Iターン歓迎】 ★渋谷駅・神泉駅より徒歩直ぐの好アクセス♪ ★来年には、更にオフィ…
給与 月給23万円〜37万円以上 ＋ 賞与 ※経験・年齢などを考慮の上、当社規定により優遇。 ※上記には固定残業…
初年度年収 300万円～800万円"
287,株式会社ファースト | 【不況知らずのカスタムカー専門店】＊平均年収600万円以上！,＊未経験大歓迎！残業ほぼなし・転勤なし【カーアドバイザー】 正社員,正社員,"仕事内容 【人気爆発！カスタムカーが今アツい！】◆お客様はWeb上で「買いたい車」がほぼほぼ決まっています。お任せするのは来店後の対応のみだからラク♪
対象となる方 【未経験・第二新卒歓迎】◆「とくにやりたいことはないけど稼ぎたい」そんな動機でOK！◆車の知識などは一切問いません！しっかり育てます♪
勤務地 ＼自慢の愛車での通勤OK！転勤ナシ／ 千葉県白井市にある本店での勤務となります。 【アクセス】 北…
給与 月給25万円〜＋インセンティブ(販売台数UP→金額もUP) 【平均年収600万円以上】 ＜月収例＞ 入社1ヶ月……
初年度年収 450万円～650万円"
288,株式会社メディエイド | 『ヘルスケア×DX』で日本のヘルスケアを変えるベンチャー企業！,幅広い経験を積んでキャリアUP！自社サービスの【ITエンジニア】 正社員,正社員,"仕事内容 【30代～50代活躍中/フレックスタイム制】あなたの経験・スキルに合わせ、当社が展開する医療業界向けサービスの設計・開発・品質管理をお任せ。
対象となる方 【応募条件】◆大卒以上 ★スキルに自信のあるベテランはもちろん、意欲や熱意があれば、経験の浅い方もポテンシャル採用します！
勤務地 ★転勤なし ★リモートワーク可！ ★神田駅徒歩すぐ！ 【本社】 東京都千代田区内神田3-2-1 喜…
給与 年俸制500万円〜900万円 ※年俸の1/12（月額41.6万円〜75万円）を毎月支給します。 ※試用期間3か月あり…
初年度年収 500万円～900万円"
289,株式会社ゲッコー | 家から現場に直行→そのまま直帰スタイル！転勤ナシ,20代の平均月収＝約43万円★実働6h＆残業ナシ【技術系総合職】 正社員,正社員,"仕事内容 やることはシンプルなものばかり＊希望や適性に応じて、運搬、搬入、荷降ろし補助業務をお任せします。超簡単な業務からスタートなので安心♪
対象となる方 【未経験歓迎！学歴や、働いた経験も問いません！】先輩たちもみんな未経験スタート。みんなで気にかけて育ててていく社風です！※35歳以下の方(*)
勤務地 東京都・神奈川県・千葉県・埼玉県の各現場 【直行直帰となります】 本社：千葉県市川市行徳駅前2-1…
給与 月給28万〜54万円 +各種手当 ※スキルや能力、希望などを考慮して、給与額を決定します。 ※試用期間1…
初年度年収 350万円～650万円"
290,CPAエクセレントパートナーズ株式会社 | 公認会計士の資格取得を支援する専門学校◆年休131日◆完休2日制,【企画営業】次代を担う幹部候補！初年度総年収550～800万円可能 正社員,正社員,"仕事内容 【経営陣と共に営業戦略を立案・実行！】 ◆代理店への営業活動及びイベント・プロモーションの企画実施、受講検討者へのカウンセリングを担当
対象となる方 【企画営業を通じて経営センスを磨くチャンス！】 ★人物・意欲重視の採用 ◆四大卒以上 ◆基本PCスキル ◎新しいことに挑戦したい方大歓迎！
勤務地 〔 転勤なし！駅ちか徒歩1分 〕 水道橋校 〒101-0061 東京都千代田区神田三崎町3-6-9…
給与 月給25万円〜月給50万円 +別途残業代100%支給 +賞与年2回 ※残業は自由です。 ※経験や能力を考慮の上、…
初年度年収 550万円～800万円"
291,株式会社国際技術コンサルタンツ | 年休120日＆ほぼ定時退社！ライフワークバランスの取れた会社,地質・地盤・測量調査会社の【技術系総合職】毎日ほぼ定時退社 正社員,正社員,"仕事内容 ◆調査データをまとめる技術部門でデータの入力やまとめ作業をお任せします◆平行担当は平均1、2件と少なく、残業は月10時間以内と働きやすい環境です
対象となる方 ■要普免（AT限定可）■地質調査報告書の作成経験ある方歓迎　◇経験なくても大丈夫！素直な姿勢で臨める方であればスグにでも活躍できます♪
勤務地 《JR総武線「市川駅」・京成線「市川真間駅」徒歩5分》 千葉県市川市新田5-4-4
給与 月給23万円〜35万円 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3ヵ月あり（同条件…
初年度年収 300万円～500万円"
292,"アクサ生命保険株式会社 | 神戸FA支社◇平均年収1,300万円◇賞与年4回◇20～40代活躍中",【フィナンシャルプランアドバイザー】 ★業界未経験率98％！ 正社員,正社員,"仕事内容 【ファーストコンタクトは紹介が中心！】◆お客さまの理想のライフプランの作成や資産形成、企業の健康経営をサポート★賞与年4回★年間休日120日
対象となる方 20~40代活躍中【未経験大歓迎！営業経験＆金融業界の出身者優遇】◆高卒以上◆社会人経験必須★実績が収入やポストに直結する会社で働きたい方はぜひ
勤務地 【神戸FA支社】 兵庫県神戸市中央区浪花町59 神戸朝日ビルディング20F
給与 月給:20万円〜60万円＋インセンティブ＋賞与年4回 ※経験、スキルを考慮して決定いたします。 ※待遇面…
初年度年収 400万円～1000万円"
293,株式会社丸八ダイレクト | ◆名証二部上場「丸八グループ」◆WEB面接可◆報奨金・賞与年2回,【営業】★未経験も月収32万円可 ★フォローアップ手当5万円支給 正社員,正社員,"仕事内容 【寝具に関するお困りごとを解決！】まずはお客さまとの会話を”楽しむ”ことからスタート！ふとんのお手入れ/クリーニング/買替えのご相談に応じます
対象となる方 【人物重視の採用】□～43歳(*) □要普自免(AT限定可)★安定した環境でリスタートしたい方 ★”人と話すことが好き”な方 《第二新卒特別特集参画中》
勤務地 【UIターン歓迎／駅チカ勤務で通勤も便利♪】 《全国の各拠点・勤務地はご希望を考慮します！》 北海…
給与 月給25万円〜27万円＋フォローアップ手当5万円(入社後4ヶ月間)＋報奨金 ※勤務地により異なります。 ※試…"
294,株式会社AMBITION | ＜不動産業界で知名度No.1を目指す！＞20～30代活躍中！,＼上場企業で一つ上の成長を／あなたの経験を活かす賃貸管理業務 正社員,正社員,"仕事内容 【経験を活かせる！まずは事務業務からスタート！】◆賃貸物件の管理業務　◆管理物件のリーシング業務　◆リート物件のプロパティマネジメント業務
対象となる方 【20～30代の社員が活躍中！】◆何らかのプロパティマネジメント業務の経験（1年以上）　◆基本的なPCスキル　◆学歴・資格不問
勤務地 ＜転勤なし＆状況に応じてリモートワークOK＞ 東京都渋谷区神宮前2丁目34-17 住友不動産原宿ビ…
給与 月給25〜50万円 ※経験・スキル等を考慮し、当社規定により決定いたします。 ※上記には固定残業代（5万…"
295,株式会社サンドリア | 【パナソニックLSスマートエナジー（株）一次販売代理店】,大手メーカー商品の【提案営業】★ほぼ残業なし★完全週休2日 正社員,正社員,"仕事内容 ＼未経験からでも固定月給25万円～＋α／《充実の新人研修で安心スタート♪》★知名度抜群のパナソニック社製商品の提案をお願いします。
対象となる方 ＼未経験大歓迎／◆営業未経験やアパレル、サービス業など異業種出身者の女性社員が多数活躍中♪★社会人としてのマナーがある方はすぐに活躍できます
勤務地 《★千代田区の本社で積極採用》 《★竹橋駅徒歩3分オフィス》 《★転勤なし》 《★U・Iターン歓迎…
給与 月給 25万円以上 ＋(インセンティブ） ※試用期間1ヶ月あり（給与に変更はありません） ※みなし残業手当…
初年度年収 350万円～500万円"
296,株式会社CRUD nop | ECサイト/動画配信/ゲーム等のWebシステムを手掛ける成長企業,"次は""したいこと""重視でいこう【ITエンジニア】★前給考慮！ 正社員",正社員,"仕事内容 ECサイト、動画配信用システム、車載システム、ゲームのシステムなどのプロジェクトから、希望を考慮した案件をお任せ◎待機なし／利益還元率80％
対象となる方 【""スキルを伸ばす""""稼ぐ""など各々に目標を持つメンバー活躍中！】応募条件：Web・オープン系の開発経験　★土日祝休み／案件の進め方など裁量大
勤務地 本社、またはクライアント先（東京23区など） 本社／東京都新宿区西新宿3-5-3 西新宿ダイヤモン…
給与 月給25万円〜70万円＋賞与年2回 ※経験・スキル・年齢を考慮の上、決定します。 ※上記金額には固定残業…
初年度年収 350万円～900万円"
297,日本テンポラリーハウス株式会社 | 社員の全員が未経験スタートなので安心！土日面接OK！,未経験OK【住まいのコーディネーター】年休125日★20代活躍中！ 正社員,正社員,"仕事内容 【テレアポ・飛込みはなし★未経験OK！】自宅の建替えやリフォームの際に、お客様が短期間だけ住む “仮のお住まい”を提供する仕事です。
対象となる方 【20代活躍中！未経験・第二新卒歓迎！】◆30歳までの方（若年層の長期キャリア形成のため）◆学歴不問◆社員のほとんどが未経験スタートなので安心！
勤務地 【交通費全額支給】 《転居を伴う転勤ナシ》 ※勤務地はご本人の希望を考慮して、決定します。 ◆東京…
給与 月給21万円〜28万円＋インセンティブ （月5万円〜30万円） ※経験・能力を考慮し、決定いたします。 ※…
初年度年収 350万円～500万円"
298,株式会社TERASS | 年収2000万も可能/仲介手数料の75％が年収/出社義務無し/副業OK!,フルリモート!面接1回【不動産売買仲介エージェント】※学歴不問 業務委託,業務委託,"仕事内容 【首都圏エリアの不動産売買のエージェント業務】出社義務無しで働く場所・時間は自由。事務作業も無しと業界最高水準の業務サポートを受けられます。
対象となる方 【不動産売買仲介の経験必須(実需売買経験3年以上)】宅建保有者歓迎/副業/在宅で稼ぎたいと考えている方大歓迎。フルリモートで事務作業も一切なし!
勤務地 ◆首都圏（東京都・埼玉県・神奈川県・千葉県）もしくは関東圏(栃木県・群馬県・茨城県)のお好きなエリ…
給与 【A】フルコミッション制 仲介手数料売上に対し「75％」を報酬として還元 【B】固定月額報酬20万円+仲介…
初年度年収 100万円～2000万円"
299,エーシー企画株式会社 | 【三井住友海上グループの安定企業】土日祝休み／年休130日以上,【自動車整備工場のアドバイザー】自動車業界での経験を活かせる 正社員,正社員,"仕事内容 整備工場の従事者へ人材育成に関する資料作成ならびにセミナーサポート、その後、セミナーの企画立案・講師をお任せします。
対象となる方 ◆国家2級整備士資格以上をお持ちの方
勤務地 〈転勤なし〉 ■本社／東京都千代田区神田駿河台3-9 三井住友海上駿河台ビル6F ■千葉研修所／千…
給与 月給37万円〜＋残業代全額支給＋賞与年2回 ※試用期間6ヶ月（給与・待遇は変わりません） 【年収例】 58…
初年度年収 580万円"
300,株式会社ほけんショップアイ | 乗合型保険代理店のパイオニア☆社宅制度あり！福利厚生充実,【総合職(生損保営業・営業事務)】☆未経験者大歓迎☆残業少なめ 正社員,正社員,"仕事内容 【充実の研修・OJTをご用意】【未経験スタートの先輩が多数】幅広い生保・損保の商品を扱う保険代理店で、生損保営業または営業事務として活躍！
対象となる方 【未経験者歓迎！人物重視の採用】◆専門・短大卒以上◆基本的なPCスキル◎異業種出身の先輩が活躍中◎安定した会社で働きたい方はぜひ！
勤務地 【転勤なし！マイカー通勤OK】 ◆本社／埼玉県羽生市西2丁目14番22号 ★『羽生』駅より徒歩5分…
給与 月給20万円〜48万5,227円 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間6ヶ月あり、…"
301,株式会社日本アムスコ | 大手の開発プロジェクトにCAE解析で貢献／残業月20h程度と少なめ,鉄道車両などの【シュミレーションエンジニア】★年間休日125日 正社員,正社員,"仕事内容 【大手企業の新製品開発に貢献！】専用の解析ツールを用いて鉄道車両やプラントなど、様々な新製品の開発にともなうシミュレーションを行います。
対象となる方 【応募条件：◆理系大卒以上(工学系の方は歓迎)◆35歳まで(※)】★ほとんどの先輩が未経験入社！年齢・社歴に関係なく正当な評価＆若手が活躍中です！
勤務地 ＜神戸本社及び、名古屋、東京、広島のいずれかの事業所＞ ※ご希望を考慮します、お気軽にご相談くださ…
給与 ◆大卒：月給20万2,000円〜 ◆院卒：月給20万8,000円〜 ※上記は新卒・未経験の最低保証給となります。 …"
302,御幸建設株式会社 | 《御幸建設グループ》ストレッチサロン・カフェテリアプラン等有,未経験OK【建築営業】完全週休2日｜年休120日｜子育て世代活躍中 正社員,正社員,"仕事内容 《アパート・マンション・貸事務所・店舗など、効果的な土地活用方法のご提案》まずはオーナー様に顔と名前を覚えてもらうことから始めましょう！
対象となる方 《人物重視採用｜あなたの想いを聞かせてください》未経験～経験者まで幅広く歓迎｜飲食や旅行業など接客の経験がある方は活かせます！
勤務地 【岡崎本社】愛知県岡崎市上里三丁目3番地1 御幸建設本社ビル2F 【豊田支店】愛知県豊田市曙町三丁…
給与 【固定月給制29万円以上＋成果給】+賞与 ※年齢・経験等を考慮し決定します。 ※上記給与には固定残業時…
初年度年収 400万円～800万円"
303,株式会社大登 | 月給24万円~に歩合＆各種インセン賞与年2回◆やる気と実積を評価,続々OPEN【営業】★入社1年目で月収50万円以上可能★車通勤OK 正社員,正社員,"仕事内容 ソリューション営業◆お客様先への訪問・課題をヒアリング、リフォームのご案内、改善策の提案◆自社ブランド「ダイト工法」の販促・プロモーション
対象となる方 《やる気と実績を正当に評価！》入社3年目までに年収700万円以上可能◆普通自動車免許(AT限定可)※免許がない方もOK★未経験OK★営業経験ある方大歓迎
勤務地 ◆東京都内の各支店への配属！マイカー通勤OK☆ 希望の営業所をご相談ください。 ◎昨年秋、立川支店…
給与 【月給】24万円以上＋歩合＋各種インセンティブ+賞与年2回+手当・営業交通費(ガソリン代/2万円)など ※…
初年度年収 300万円～700万円"
304,株式会社ヤマキ | #移転したばかりのNEWオフィス#資格手当や毎年昇給あり#定着度高,【総合職(電気工事・施工管理)】月給30～70万円★定時退社も可能 正社員,正社員,"仕事内容 【住宅や商業施設、学校などの新築・改修に伴う電気工事】希望や適性に合わせて、電気工事、または施工管理のいずれかをお任せします！
対象となる方 【スキル次第で、入社すぐに月収40～50万円も可能】応募条件：何らかの電気工事経験←経験が浅い方もOK　★無料のドリンクやシャワー、工具一式等あり
勤務地 【転勤なし/マイカー・バイク通勤OK】 ★現場は、都内中心！（東京23区や埼玉県など） 東京都足立…
給与 月給30万円〜70万円＋賞与 ★各種手当充実→残業手当、深夜勤務手当などはもちろん、資格手当も魅力！ …
初年度年収 400万円～650万円"
305,関西ポリマー株式会社 | 創業40年｜年休122日｜未経験歓迎｜大阪府緊急雇用対策に賛同,【製造スタッフ】土日祝休みの完全週休2日制 正社員,正社員,"仕事内容 【初めはサポート業務からスタート】お客様からお預かりした素材に、フッ素樹脂コーティングの表面加工をお任せ ★賞与や手当でしっかり稼げます!
対象となる方 【未経験者歓迎！学歴不問】★イチから技術を学んで、自分の成長を感じていけますよ！★モノづくりに熱中したい方、大歓迎！★定着率バツグンの職場
勤務地 【マイカー通勤OK・転勤なし】 ◆本社／大阪府貝塚市三ヶ山1094番地1 ※阪和自動車道『貝塚』I…
給与 月給20万円以上＋諸手当 ※経験・スキルに応じて優遇します 【モデル年収】390万円／入社3年目 ★社員…"
306,エアリーヴィレッジ株式会社 | 経験を活かして「即戦力」として活躍｜面接1回,【自動車整備士】賞与年2回／月給25万円～／インセンティブあり 正社員,正社員,"仕事内容 【無理のない作業量で着実なキャリアUPが可能】車検整備・点検整備・部品交換／鈑金塗装業務などをお任せします。
対象となる方 【自動車整備士の資格や経験をお持ちの方必見】前向きな姿勢重視！経験の浅い方もブランクのある方も歓迎します◎／学歴不問／要普免（AT限定可）
勤務地 〒340-0824 ■埼玉県八潮市垳518 【アクセス】 「八潮駅」より徒歩18分・車で5分
給与 ■月給250,000円以上 ※上記は年齢・能力・経験・前給を考慮して面談で決定します。
初年度年収 350万円～500万円"
